Predictor variable,Categorical,Sample average
bio1,false,120.07231920199501
bio10,false,185.16658354114713
bio11,false,62.266832917705734
bio12,false,1200.8418952618454
bio13,false,222.49177057356607
bio14,false,4.210473815461347
bio15,false,81.2793017456359
bio16,false,615.264837905237
bio17,false,29.643890274314213
bio18,false,39.271820448877804
bio19,false,594.6408977556109
bio2,false,139.0064837905237
bio3,false,50.23890274314214
bio4,false,4917.109725685786
bio5,false,281.96059850374064
bio6,false,5.475810473815462
bio7,false,276.4847880299252
bio8,false,65.34513715710723
bio9,false,183.42593516209476
